date,product_category,quantity,unit_price,total_amount,customer_id,region,payment_method,sales_rep,discount_percentage,cost_price,profit
2024-06-07,Electronics,94,259.99,24439.06,C1049,North,Credit Card,Alice Johnson,6,200.00,5614.06
2024-06-10,Clothing,183,41.99,7684.17,C1050,South,PayPal,Bob Smith,13,26.00,2924.17
2024-06-13,Home & Garden,47,124.99,5874.53,C1051,East,Cash,Carol Davis,7,82.00,2029.53
2024-06-16,Electronics,68,309.99,21079.32,C1052,West,Credit Card,David Wilson,8,240.00,4759.32
2024-06-19,Food & Beverage,260,7.99,2077.40,C1053,North,Debit Card,Emma Brown,0,5.00,777.40
2024-06-22,Sports,76,79.99,6079.24,C1054,South,Credit Card,Frank Miller,11,52.00,2099.24
2024-06-25,Electronics,88,199.99,17599.12,C1055,East,PayPal,Alice Johnson,9,152.00,4219.12
2024-06-28,Clothing,147,48.99,7201.53,C1056,West,Cash,Bob Smith,17,30.00,2741.53
2024-07-01,Home & Garden,53,134.99,7154.47,C1057,North,Credit Card,Carol Davis,5,88.00,2504.47
2024-07-04,Electronics,115,169.99,19548.85,C1058,South,Debit Card,David Wilson,10,130.00,4573.85
2024-07-07,Food & Beverage,225,12.99,2922.75,C1059,East,Credit Card,Emma Brown,0,8.00,1122.75
2024-07-10,Sports,98,59.99,5879.02,C1060,West,PayPal,Frank Miller,8,38.00,2179.02
2024-07-13,Electronics,61,359.99,21959.39,C1061,North,Cash,Alice Johnson,4,280.00,4899.39
2024-07-16,Clothing,192,35.99,6910.08,C1062,South,Credit Card,Bob Smith,19,22.00,2662.08
2024-07-19,Home & Garden,69,109.99,7589.31,C1063,East,Debit Card,Carol Davis,6,72.00,2639.31
2024-07-22,Electronics,82,239.99,19679.18,C1064,West,Credit Card,David Wilson,7,183.00,4669.18
2024-07-25,Food & Beverage,240,11.99,2877.60,C1065,North,PayPal,Emma Brown,0,7.50,1077.60
2024-07-28,Sports,91,74.99,6824.09,C1066,South,Cash,Frank Miller,12,48.00,2474.09
2024-08-01,Electronics,73,299.99,21899.27,C1067,East,Credit Card,Alice Johnson,5,230.00,5099.27
2024-08-04,Clothing,169,43.99,7434.31,C1068,West,Debit Card,Bob Smith,15,27.00,2886.31
2024-08-07,Home & Garden,58,144.99,8409.42,C1069,North,Credit Card,Carol Davis,8,95.00,2889.42
2024-08-10,Electronics,106,179.99,19078.94,C1070,South,PayPal,David Wilson,11,138.00,4426.94
2024-08-13,Food & Beverage,255,9.99,2547.45,C1071,East,Cash,Emma Brown,0,6.00,1017.45
2024-08-16,Sports,84,89.99,7559.16,C1072,West,Credit Card,Frank Miller,9,58.00,2699.16
2024-08-19,Electronics,56,389.99,21839.44,C1073,North,Debit Card,Alice Johnson,6,302.00,4899.44
2024-08-22,Clothing,205,38.99,7992.95,C1074,South,Credit Card,Bob Smith,20,24.00,3067.95
2024-08-25,Home & Garden,64,119.99,7679.36,C1075,East,PayPal,Carol Davis,7,78.00,2679.36
2024-08-28,Electronics,91,209.99,19109.09,C1076,West,Cash,David Wilson,8,160.00,4529.09
2024-09-01,Food & Beverage,270,8.99,2427.30,C1077,North,Credit Card,Emma Brown,0,5.50,942.30
2024-09-04,Sports,79,69.99,5529.21,C1078,South,Debit Card,Frank Miller,10,45.00,1949.21
2024-09-07,Electronics,67,319.99,21439.33,C1079,East,Credit Card,Alice Johnson,5,248.00,4789.33
2024-09-10,Clothing,178,45.99,8186.22,C1080,West,PayPal,Bob Smith,16,28.00,3170.22
2024-09-13,Home & Garden,51,154.99,7904.49,C1081,North,Cash,Carol Davis,9,102.00,2704.49
2024-09-16,Electronics,98,189.99,18619.02,C1082,South,Credit Card,David Wilson,10,145.00,4417.02
2024-09-19,Food & Beverage,235,13.99,3287.65,C1083,East,Debit Card,Emma Brown,0,9.00,1177.65
2024-09-22,Sports,87,84.99,7394.13,C1084,West,Credit Card,Frank Miller,11,55.00,2624.13
2024-09-25,Electronics,74,269.99,19979.26,C1085,North,PayPal,Alice Johnson,7,208.00,4583.26
2024-09-28,Clothing,156,40.99,6394.44,C1086,South,Cash,Bob Smith,14,25.00,2478.44
2024-10-01,Home & Garden,72,129.99,9359.28,C1087,East,Credit Card,Carol Davis,6,85.00,3239.28
2024-10-04,Electronics,112,199.99,22398.88,C1088,West,Debit Card,David Wilson,12,152.00,5326.88
2024-10-07,Food & Beverage,280,10.99,3077.20,C1089,North,Credit Card,Emma Brown,0,7.00,1117.20
2024-10-10,Sports,95,64.99,6174.05,C1090,South,PayPal,Frank Miller,8,42.00,2184.05
2024-10-13,Electronics,63,379.99,23939.37,C1091,East,Cash,Alice Johnson,4,295.00,5379.37
2024-10-16,Clothing,213,36.99,7878.87,C1092,West,Credit Card,Bob Smith,18,23.00,2960.87
2024-10-19,Home & Garden,59,139.99,8259.41,C1093,North,Debit Card,Carol Davis,7,92.00,2819.41
2024-10-22,Electronics,86,249.99,21499.14,C1094,South,Credit Card,David Wilson,9,190.00,5099.14
2024-10-25,Food & Beverage,250,11.99,2997.50,C1095,East,PayPal,Emma Brown,0,7.50,1122.50
2024-10-28,Sports,102,79.99,8158.98,C1096,West,Cash,Frank Miller,13,52.00,2858.98
2024-11-01,Electronics,78,289.99,22619.22,C1097,North,Credit Card,Alice Johnson,6,225.00,5039.22
2024-11-04,Clothing,187,42.99,8039.13,C1098,South,Debit Card,Bob Smith,15,26.00,3131.13
2024-11-07,Home & Garden,66,149.99,9899.34,C1099,East,Credit Card,Carol Davis,8,98.00,3419.34
2024-11-10,Electronics,119,169.99,20228.81,C1100,West,PayPal,David Wilson,11,130.00,4708.81
2024-11-13,Food & Beverage,290,9.99,2897.10,C1101,North,Cash,Emma Brown,0,6.00,1157.10
2024-11-16,Sports,88,74.99,6599.12,C1102,South,Credit Card,Frank Miller,10,48.00,2383.12
2024-11-19,Electronics,71,339.99,24139.29,C1103,East,Debit Card,Alice Johnson,5,263.00,5459.29
2024-11-22,Clothing,195,47.99,9358.05,C1104,West,Credit Card,Bob Smith,17,30.00,3478.05
2024-11-25,Home & Garden,54,124.99,6749.46,C1105,North,PayPal,Carol Davis,9,82.00,2309.46
2024-11-28,Electronics,93,219.99,20459.07,C1106,South,Cash,David Wilson,8,168.00,4823.07
2024-12-01,Food & Beverage,265,12.99,3442.35,C1107,East,Credit Card,Emma Brown,0,8.00,1317.35
2024-12-04,Sports,96,89.99,8639.04,C1108,West,Debit Card,Frank Miller,12,58.00,3047.04
2024-12-07,Electronics,81,309.99,25109.19,C1109,North,Credit Card,Alice Johnson,7,240.00,5639.19
2024-12-10,Clothing,172,39.99,6878.28,C1110,South,PayPal,Bob Smith,16,24.00,2710.28
2024-12-13,Home & Garden,68,159.99,10879.32,C1111,East,Cash,Carol Davis,10,105.00,3719.32
2024-12-16,Electronics,108,189.99,20518.92,C1112,West,Credit Card,David Wilson,9,145.00,4842.92
2024-12-19,Food & Beverage,300,8.99,2697.00,C1113,North,Debit Card,Emma Brown,0,5.50,1047.00
2024-12-22,Sports,104,69.99,7278.96,C1114,South,Credit Card,Frank Miller,11,45.00,2574.96
2024-12-25,Electronics,69,359.99,24839.31,C1115,East,PayPal,Alice Johnson,6,280.00,5519.31
2024-12-28,Clothing,220,44.99,9897.80,C1116,West,Cash,Bob Smith,19,28.00,3717.80
